FULL NAME,TEAM,POS,GP,MPG,Usage Rate,Turnover Rate,FTA,FT%,2PA,2P%,3PA,3P%,FG%,PointsPerGame,ReboundsPerGame,AssistsPerGame,StealsPerGame,BlocksPerGame,TurnoversPerGame,Offensive Rating
Rayjon Tucker,Uta,G,2,5.6,25.3,16.7,0,0,2,0.5,3,0.333,0.5,2.5,0,0,0,0,0.5,80.1
Myles Turner,Ind,C-F,4,36.4,19,15,16,0.438,30,0.633,14,0.429,0.636,15.8,10.8,0.8,0.5,4,2.25,108.8
Fred VanVleet,Tor,G,11,39.1,22.9,9.9,25,0.84,80,0.413,110,0.391,0.513,19.6,4.4,6.9,1.64,0.64,2,112
Gabe Vincent,Mia,G,1,0.3,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
Noah Vonleh,Den,F,1,3.1,14.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Nikola Vucevic,Orl,C,5,36.9,29.8,10.1,11,0.909,67,0.567,44,0.409,0.586,28,11,4,0.8,0.6,2.6,113
Dion Waiters,Lal,G,5,7.6,16,7.2,2,1,8,0.5,4,0,0.333,2,0.4,0.4,0.2,0.2,0.2,84.5
Kemba Walker,Bos,G,17,36.9,23,9.9,81,0.852,130,0.569,126,0.31,0.518,19.6,4.1,5.1,0.88,0.41,1.88,116.9
Brad Wanamaker,Bos,G,17,16,13.9,21.2,16,0.875,33,0.515,27,0.444,0.583,4.9,2,1.8,0.71,0.29,1.06,111.5
T.J. Warren,Ind,F,4,39.1,24.4,13.3,9,1,49,0.51,19,0.368,0.522,20,6.3,3,2.25,0.25,2.75,102.8
Tremont Waters,Bos,G,1,2.4,18.6,0,0,0,0,0,1,0,0,0,1,1,0,0,0,
Paul Watson,Tor,G,2,4.4,10.1,0,0,0,2,0.5,0,0,0.5,1,0,0.5,0.5,0,0,120.2
Russell Westbrook,Hou,G,8,32.7,31.5,16.3,32,0.531,107,0.477,33,0.242,0.45,17.9,7,4.6,1.5,0.25,3.75,90.6
Hassan Whiteside,Por,C,5,21.2,14.2,16.6,14,0.5,23,0.522,1,1,0.563,6.8,7,0.4,0.2,2,1.2,104.6
Robert Williams III,Bos,C-F,13,11.5,12.2,17.2,6,0.333,30,0.767,1,0,0.742,3.7,3.9,0.8,0.23,0.46,0.54,136.1
Nigel Williams-Goss,Uta,G,1,2.4,0,,0,0,0,0,0,0,,0,0,1,0,0,0,
Grant Williams,Bos,F,17,10,9.1,11.6,10,0.7,9,0.556,17,0.588,0.769,2.8,1.5,0.4,0.12,0.29,0.24,143.4
Lou Williams,Lac,G,13,26.2,23.5,11.5,37,0.811,95,0.526,51,0.235,0.466,12.8,3.2,4.2,0.69,0.15,1.62,107.4
Marvin Williams,Mil,F,10,17.9,12.4,5.8,3,1,24,0.458,23,0.435,0.553,5.5,4.8,0.9,0.5,0.3,0.3,123.6
Delon Wright,Dal,G,4,13.3,13.9,29.1,5,0.6,8,0.625,2,0.5,0.65,4,0.8,1.8,1.25,0,1.25,107.5
Ivica Zubac,Lac,C,13,24.6,14.5,11.3,37,0.811,78,0.564,0,0,0.564,9.1,7.2,0.6,0.15,0.77,0.92,126.1
