FULL NAME,TEAM,POS,GP,MPG,Usage Rate,Turnover Rate,FTA,FT%,2PA,2P%,3PA,3P%,FG%,PointsPerGame,ReboundsPerGame,AssistsPerGame,StealsPerGame,BlocksPerGame,TurnoversPerGame,Offensive Rating
Wenyen Gabriel,Por,F,4,13.3,16.3,23.9,2,0.5,10,0.7,5,0.4,0.667,5.3,2.5,1,0.5,0.5,1.25,116.3
Danilo Gallinari,Okc,F,7,30.3,21.8,14,30,0.967,42,0.476,37,0.324,0.481,15,5.4,1,0.71,0.14,2.14,104.3
Marc Gasol,Tor,C,11,20.7,16.8,18.5,15,0.733,37,0.541,27,0.185,0.43,6,4.4,2.6,0.45,0.64,1.45,93.7
Paul George,Lac,F,13,36.8,26.1,14,55,0.909,110,0.464,111,0.333,0.482,20.2,6.1,3.8,1.46,0.54,3.08,103.5
Shai Gilgeous-Alexander,Okc,G-F,7,39.9,17.8,13,23,0.957,55,0.455,35,0.4,0.511,16.3,5.3,4.1,1,0.43,2.14,110.7
Rudy Gobert,Uta,C,7,38.6,17.6,8.9,42,0.524,74,0.649,0,0,0.649,16.9,11.4,1.1,0.57,1.43,1.29,126.8
Eric Gordon,Hou,G,12,34.1,23.8,11,40,0.875,86,0.5,90,0.322,0.491,17.3,2.7,3,0.83,0.58,2,105.2
Jerami Grant,Den,F,19,34.4,15.6,11.2,54,0.889,80,0.5,95,0.326,0.494,11.6,3.3,1.3,0.58,0.74,1.32,107
Danny Green,Lal,G,21,25,15.7,6.4,15,0.667,55,0.364,115,0.339,0.462,8,3.1,1.2,0.95,0.76,0.57,103.5
JaMychal Green,Lac,F-C,13,17.1,12.6,7.8,9,0.778,32,0.656,23,0.435,0.655,6.1,3.8,0.5,0.15,0.23,0.38,132.5
Javonte Green,Bos,G-F,1,5.7,15.7,0,0,0,0,0,2,0.5,0.75,3,1,0,0,0,0,143.3
Jeff Green,Hou,F,12,28.4,16.5,12,17,0.824,49,0.571,54,0.426,0.607,11.6,5,1.6,0.5,0.5,1.25,116.1
Donta Hall,Bro,F,3,6.6,16.1,12.9,4,0.25,5,0.6,0,0,0.6,2.3,1.7,0,0,0.67,0.33,102.5
Tim Hardaway Jr.,Dal,G,6,33.9,21.7,2.9,11,0.727,41,0.512,54,0.352,0.521,17.8,3.5,1.8,0.33,0,0.5,111.3
James Harden,Hou,G,12,37.3,32.4,13.9,116,0.845,111,0.631,117,0.333,0.564,29.6,5.6,7.7,1.5,0.83,3.75,123.5
Montrezl Harrell,Lac,F-C,13,18.7,22.3,9.7,68,0.603,77,0.597,5,0.2,0.579,10.5,2.9,0.4,0.38,0.54,0.92,115.6
Gary Harris,Den,G,14,27.1,14.5,17.4,22,0.773,38,0.395,52,0.365,0.483,7.4,2,1.7,1.14,0.29,1.5,97.6
Joe Harris,Bro,G-F,2,36.2,15.8,10.8,4,0.5,11,0.455,12,0.583,0.674,16.5,10.5,1,0.5,0,1.5,117.9
Tobias Harris,Phi,F,4,37.2,21.5,5.5,19,0.789,46,0.457,15,0.133,0.393,15.8,9.8,4,0.5,0.25,1,109.2
Gordon Hayward,Bos,F,5,31.4,17.2,11.6,8,0.875,26,0.5,24,0.292,0.47,10.8,4,2.8,1.4,0.4,1.4,103.4
Tyler Herro,Mia,G,21,33.6,22,12.3,54,0.87,149,0.483,128,0.375,0.52,16,5,3.7,0.38,0.1,2,106.1
Mario Hezonja,Por,F-G,5,13.6,16.4,11.2,4,0.75,15,0.467,7,0.286,0.455,4.6,3,1.2,0.6,0,0.6,102
George Hill,Mil,G,10,26.8,15.1,16.9,26,0.808,39,0.564,28,0.357,0.552,9.5,2.4,3.1,0.6,0,1.6,114.6
Solomon Hill,Mia,F,7,6,9.8,0,0,0,3,1,6,0.333,0.667,1.7,1,0.4,0.14,0,0,143.6
Jaylen Hoard,Por,F,3,13.8,14.1,14.3,0,0,12,0.583,0,0,0.583,4.7,3,0.3,0,0,0.67,115.4
Aaron Holiday,Ind,G,4,18,17.4,14.7,5,0.6,12,0.667,9,0.444,0.667,7.8,1.3,2.5,1,0,1,122.8
Justin Holiday,Ind,F-G,4,32.8,8.9,11.8,3,0.333,5,0.4,16,0.5,0.667,7.3,3.8,0.8,1.5,1.25,0.75,118.5
Rondae Hollis-Jefferson,Tor,F,5,7.7,16.6,6.9,8,0.75,9,0.444,1,0,0.4,2.8,2,0.6,0.4,0.2,0.2,123.5
Al Horford,Phi,C-F,4,32.1,10.9,12.5,7,0.571,21,0.571,4,0,0.48,7,7.3,2.3,0.25,1.25,1,110.7
Talen Horton-Tucker,Lal,G,2,8.5,30.9,0,0,0,7,0.571,5,0.4,0.583,7,2.5,0,1,0,0,109.9
